t_ref_s,left_idx,right_idx,right_t_s,side_idx,side_t_s,gaze_idx,gaze_t_s,dvapi_idx,dvapi_row,dvapi_api_cnt,dvapi_t_s
1765489794.5774689,365,364,1765489794.583452,1,1765489794.582456,1411,1765489794.567063,1817,1817,1817,1765489794.582202
1765489794.6193762,366,365,1765489794.621553,3,1765489794.631526,1412,1765489794.6232092,1819,1819,1819,1765489794.619355
1765489794.6514719,367,366,1765489794.673414,4,1765489794.663442,1413,1765489794.6587634,1821,1821,1821,1765489794.6451879
1765489794.683406,368,366,1765489794.673414,5,1765489794.697369,1414,1765489794.695566,1823,1823,1823,1765489794.6785178
1765489794.71933,369,367,1765489794.7043688,6,1765489794.730172,1415,1765489794.733496,1825,1825,1825,1765489794.707866
1765489794.753141,370,368,1765489794.739149,7,1765489794.765617,1415,1765489794.733496,1828,1828,1828,1765489794.758973
1765489794.7915468,371,370,1765489794.803515,8,1765489794.797531,1416,1765489794.776474,1830,1830,1830,1765489794.79156
1765489794.830445,372,371,1765489794.832438,9,1765489794.830445,1418,1765489794.8479614,1832,1832,1832,1765489794.828785
1765489794.863389,373,372,1765489794.871367,10,1765489794.864388,1418,1765489794.8479614,1834,1834,1834,1765489794.871948
1765489794.897984,374,373,1765489794.9069598,11,1765489794.895989,1419,1765489794.883925,1836,1836,1836,1765489794.903889
1765489794.928938,375,374,1765489794.938931,12,1765489794.929936,1420,1765489794.9252622,1838,1838,1838,1765489794.919555
1765489794.962893,376,375,1765489794.9749298,13,1765489794.9648871,1421,1765489794.9629297,1840,1840,1840,1765489794.954031
1765489794.99681,377,376,1765489795.0157802,14,1765489794.9958138,1422,1765489795.0021951,1842,1842,1842,1765489794.998607
1765489795.032038,378,376,1765489795.0157802,15,1765489795.031511,1423,1765489795.0411813,1844,1844,1844,1765489795.020321
1765489795.064948,379,377,1765489795.054975,16,1765489795.062953,1424,1765489795.082221,1846,1846,1846,1765489795.0616689
1765489795.096926,380,378,1765489795.085927,17,1765489795.096926,1424,1765489795.082221,1849,1849,1849,1765489795.101518
1765489795.131915,381,379,1765489795.1198971,18,1765489795.130867,1425,1765489795.1236267,1850,1850,1850,1765489795.1297169
1765489795.160836,382,380,1765489795.15186,19,1765489795.1648488,1426,1765489795.1638794,1852,1852,1852,1765489795.150756
1765489795.19487,383,381,1765489795.183899,20,1765489795.196866,1427,1765489795.2041993,1854,1854,1854,1765489795.184079
1765489795.231306,384,382,1765489795.2178292,21,1765489795.2298748,1428,1765489795.240391,1856,1856,1856,1765489795.229368
1765489795.262754,385,383,1765489795.252775,22,1765489795.263752,1429,1765489795.2837956,1858,1858,1858,1765489795.2555509
1765489795.300677,386,384,1765489795.2886841,23,1765489795.29569,1430,1765489795.3168254,1860,1860,1860,1765489795.295332
1765489795.333588,387,385,1765489795.31863,24,1765489795.3305972,1430,1765489795.3168254,1863,1863,1863,1765489795.333113
1765489795.363602,388,386,1765489795.348553,25,1765489795.365597,1431,1765489795.3559704,1864,1864,1864,1765489795.3590589
1765489795.4005032,389,388,1765489795.4114728,26,1765489795.396514,1432,1765489795.3955834,1867,1867,1867,1765489795.4041638
1765489795.433416,390,389,1765489795.447377,27,1765489795.430423,1433,1765489795.4317303,1869,1869,1869,1765489795.4460988
1765489795.461498,391,389,1765489795.447377,28,1765489795.465473,1434,1765489795.476315,1870,1870,1870,1765489795.460784
1765489795.498385,392,390,1765489795.48143,29,1765489795.4973881,1435,1765489795.5126333,1873,1873,1873,1765489795.502831
1765489795.530344,393,391,1765489795.5214,30,1765489795.530344,1435,1765489795.5126333,1875,1875,1875,1765489795.534709
1765489795.561323,394,392,1765489795.5563,31,1765489795.5643,1436,1765489795.5532029,1876,1876,1876,1765489795.549233
1765489795.605195,395,393,1765489795.591232,32,1765489795.597216,1437,1765489795.5891228,1879,1879,1879,1765489795.607018
1765489795.6340969,396,394,1765489795.627094,33,1765489795.631597,1438,1765489795.6306064,1881,1881,1881,1765489795.6303458
1765489795.668022,397,395,1765489795.656055,34,1765489795.665031,1439,1765489795.6541846,1883,1883,1883,1765489795.6740918
1765489795.697964,398,396,1765489795.698962,35,1765489795.696966,1440,1765489795.6878788,1885,1885,1885,1765489795.707099
1765489795.729938,399,397,1765489795.7365959,36,1765489795.730936,1441,1765489795.7357783,1887,1887,1887,1765489795.738422
1765489795.761529,400,398,1765489795.768511,37,1765489795.763525,1442,1765489795.7799582,1888,1888,1888,1765489795.7572398
1765489795.7948859,401,399,1765489795.804859,38,1765489795.797877,1442,1765489795.7799582,1891,1891,1891,1765489795.79435
